Tenor,MAE,MAPE,RMSE
6M,0.05813174773459978,2.369907228690708,7.149678387881653
1Y,0.03782653070574243,1.479806357671152,5.022071369662058
2Y,0.060792442810638156,2.1973416164175927,7.061266082192665
3Y,0.051250812869119075,1.7433915060485905,5.957533334725794
4Y,0.029813178103996002,0.9746633951541267,3.5373120175965043
5Y,0.02482159795745651,0.7896302353768138,3.1900597406093754
6Y,0.017436855063095627,0.5552670910036599,2.117550773944554
7Y,0.03055270112698574,0.9776461828895123,3.861581687941429
8Y,0.03190790167549129,0.9655797250169051,3.728202108898243
9Y,0.0749805498577128,2.297569814302693,8.043113060962993
10Y,0.11421937050972729,3.516015976354346,12.124419595496912
15Y,0.048981292388107125,1.349198053333377,5.821901324114504
20Y,0.039690010259647794,1.0493543084157277,4.854253593384576
30Y,0.07256202552152989,1.8634887979231907,8.284955332010876
