Tenor,MAE,MAPE,RMSE
6M,0.13453391428196276,5.62604415018696,17.352907467691782
1Y,0.09582849535111287,3.8896018682071145,13.061342546815968
2Y,0.04591647301752702,1.696011037634687,6.535253550221844
3Y,0.021859443925306202,0.7503075463891754,2.909957216206632
4Y,0.016453046584559865,0.5710914194272414,1.9520641351701677
5Y,0.021280405559550467,0.6976985157765214,2.741974115715317
6Y,0.013813652532553752,0.4381810548682967,1.8229782622125137
7Y,0.034014822107110584,1.0768982236953413,4.280576330659043
8Y,0.026669811929210214,0.8155773342366203,3.324161468827308
9Y,0.058833670763104286,1.825148223598173,6.653787425847554
10Y,0.09377976606846856,2.9211562287030612,10.381706418998379
15Y,0.06219905209041372,1.7129054098805565,8.174687994873112
20Y,0.06996486859896459,1.9124419988282415,8.25850544695853
30Y,0.05952372756865352,1.5351473182693098,7.982167423053517
