Date,Beta0,Beta1,Beta2,Tau
2012-01-04,0.04374248898692836,-0.017075529370797763,-0.018349288394647337,0.38571105410008855
2012-01-05,0.043449766589848816,-0.017048659108087765,-0.016694608635004982,0.38571105410008855
2012-01-06,0.04335288921248616,-0.016882274097827672,-0.01642778688659733,0.38571105410008855
2012-01-09,0.042845694019465266,-0.01635402988868603,-0.01582611517317516,0.38571105410008855
2012-01-10,0.043009301291980315,-0.016887821932403253,-0.014964001729986512,0.38571105410008855
2012-01-11,0.042554997902785996,-0.01673400280124979,-0.013444834092035455,0.38571105410008855
2012-01-12,0.04322169342235158,-0.01647251094512995,-0.016045083877310195,0.38571105410008855
2012-01-13,0.042623355217603645,-0.015378705011098665,-0.01602068963917314,0.38571105410008855
2012-01-16,0.04315967375000623,-0.015827354496679883,-0.017674094211211546,0.38571105410008855
2012-01-17,0.04295948645640108,-0.015331560070980018,-0.0177849090974137,0.38571105410008855
2012-01-18,0.04310197151212644,-0.014548122792150397,-0.019706263472119963,0.38571105410008855
2012-01-19,0.04270297371411377,-0.015075163627632084,-0.01781668113740228,0.38571105410008855
2012-01-20,0.04296616372531725,-0.015706850397281702,-0.016998334795337074,0.38571105410008855
2012-01-21,0.042952770690774654,-0.014346884516060665,-0.018890791912779828,0.38571105410008855
2012-01-29,0.042963847420669,-0.01575252802952629,-0.016584670880787133,0.38571105410008855
2012-01-30,0.04252459221395747,-0.015322245202939639,-0.016019725799513808,0.38571105410008855
2012-01-31,0.04292232901145378,-0.015078148446984357,-0.01851537459633759,0.38571105410008855
2012-02-01,0.04308926021336874,-0.015329074916003977,-0.0180088791435328,0.38571105410008855
2012-02-02,0.043114641127284935,-0.015008330506109094,-0.018269084121720045,0.38571105410008855
2012-02-03,0.042983501465997144,-0.015304374757645707,-0.01724782249729692,0.38571105410008855
2012-02-06,0.043133567507819146,-0.015862511078479507,-0.01552145203253266,0.38571105410008855
2012-02-07,0.0433484583435092,-0.016136713774634402,-0.015697786310694628,0.38571105410008855
2012-02-08,0.043514099548970585,-0.015573480211086227,-0.016237264615916038,0.38571105410008855
2012-02-09,0.04329649740861612,-0.014980385764672192,-0.014985989033236837,0.38571105410008855
2012-02-10,0.04358415934743667,-0.015097134359800543,-0.01566222885824513,0.38571105410008855
2012-02-13,0.043724338706032116,-0.014323651991999909,-0.019207395475190483,0.38571105410008855
2012-02-14,0.043811630238329735,-0.014062610015395672,-0.02001968851852571,0.38571105410008855
2012-02-15,0.043825123636031575,-0.013921489305403269,-0.019729157154219374,0.38571105410008855
2012-02-16,0.04374163382221877,-0.013825951558564661,-0.018834503692504834,0.38571105410008855
2012-02-17,0.04366072131213948,-0.013411797153953032,-0.01891516016607839,0.38571105410008855
2012-02-20,0.04333939379217121,-0.014016416272226351,-0.01703019939826164,0.38571105410008855
2012-02-21,0.04325909781325705,-0.013710511185581533,-0.01679721689915068,0.38571105410008855
2012-02-22,0.0431971535597377,-0.014660354751693918,-0.015049280964325097,0.38571105410008855
2012-02-23,0.0437285609605834,-0.014108337598488788,-0.017780386651737017,0.38571105410008855
2012-02-24,0.043295325826316476,-0.013779948256512903,-0.016766042728252332,0.38571105410008855
2012-02-27,0.04329682096575365,-0.013782721412603303,-0.01689748743219901,0.38571105410008855
2012-02-28,0.04368483936103092,-0.014066081420917644,-0.017417481219988033,0.38571105410008855
2012-02-29,0.04351076967101059,-0.01401537594864665,-0.016715754345318204,0.38571105410008855
2012-03-01,0.043521042728346095,-0.014002107103831008,-0.01682096833943743,0.38571105410008855
2012-03-02,0.04361004305227843,-0.0140156160625068,-0.01701534124105035,0.38571105410008855
2012-03-05,0.04333286892391826,-0.013764618544994122,-0.016275319328398537,0.38571105410008855
2012-03-06,0.043483524417186795,-0.014223365256054193,-0.015928187614716153,0.38571105410008855
2012-03-07,0.04329237941314991,-0.014432225399460992,-0.01520223132329925,0.38571105410008855
2012-03-08,0.043399278232447804,-0.013937277244577679,-0.01671692397525733,0.38571105410008855
2012-03-09,0.043508646936845745,-0.01406617611264445,-0.017233116354584608,0.38571105410008855
2012-03-12,0.04365976259815972,-0.014657150471822263,-0.017508297788505902,0.38571105410008855
2012-03-13,0.04352011254197824,-0.014846317071190718,-0.016917932985993457,0.38571105410008855
2012-03-14,0.04344432181470481,-0.01499181142820917,-0.015677236194788773,0.38571105410008855
2012-03-15,0.04350114227347973,-0.014945279583913817,-0.015824397246694794,0.38571105410008855
2012-03-16,0.04345968403313853,-0.014816526611738367,-0.015804734548290105,0.38571105410008855
2012-03-19,0.04337200284113432,-0.015132069859518016,-0.015134415846068085,0.38571105410008855
2012-03-20,0.043480671716665906,-0.014943870280979495,-0.01570553416208379,0.38571105410008855
2012-03-21,0.043756036517926214,-0.015379450028082333,-0.016005258721192597,0.38571105410008855
2012-03-22,0.04387594681760189,-0.015462428044607625,-0.016413075456312487,0.38571105410008855
2012-03-23,0.04369073921014874,-0.015407263517374554,-0.015607225649768639,0.38571105410008855
2012-03-26,0.043732501647884794,-0.015229724976147076,-0.017078655535371516,0.38571105410008855
2012-03-27,0.043794318852651566,-0.015256751613740387,-0.017355970983310775,0.38571105410008855
2012-03-28,0.043954463512603924,-0.015350668954928636,-0.01789022619331604,0.38571105410008855
2012-03-29,0.04410445558048501,-0.015591656874498153,-0.018681575381898026,0.38571105410008855
2012-03-30,0.04410455275481933,-0.015869646072075777,-0.01854146465730153,0.38571105410008855
2012-03-31,0.04404964522090463,-0.016115315564215815,-0.018265819640520216,0.38571105410008855
